영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다,,MAX,,
구타유발자들,0.00,0.00,0.01,0.06,0.03,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.09,0.03,0.00,0.01,0.03,0.01,0.01,0.01,0.01,0.06,0.01,0.05,0.08,0.08,0.03,0.19,0.01,0.03,0.02,0.01,0.01,0.01,,0.19,30.00,잔인하다
국가대표,0.01,0.00,0.01,0.09,0.06,0.02,0.01,0.04,0.01,0.01,0.23,0.01,0.02,0.01,0.19,0.03,0.00,0.01,0.03,0.00,0.00,0.06,0.00,0.05,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.02,,0.23,11.00,감동적이다
굿모닝프레지던트,0.03,0.00,0.09,0.13,0.12,0.00,0.02,0.05,0.01,0.00,0.05,0.00,0.01,0.01,0.04,0.02,0.01,0.01,0.17,0.00,0.00,0.01,0.00,0.07,0.04,0.01,0.03,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,0.17,19.00,지루하다
굿'바이GoodBye,0.01,0.00,0.01,0.02,0.05,0.00,0.02,0.02,0.07,0.03,0.21,0.00,0.01,0.02,0.05,0.02,0.01,0.01,0.06,0.00,0.00,0.12,0.00,0.03,0.02,0.00,0.01,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,11.00,감동적이다
권순분여사납치사건,0.02,0.01,0.04,0.20,0.21,0.02,0.01,0.08,0.00,0.01,0.04,0.00,0.01,0.01,0.07,0.01,0.00,0.01,0.07,0.00,0.00,0.00,0.00,0.05,0.02,0.02,0.02,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.01,,0.21,5.00,즐겁다
귀신이산다,0.02,0.00,0.01,0.16,0.14,0.00,0.01,0.03,0.02,0.01,0.03,0.00,0.02,0.01,0.02,0.01,0.01,0.01,0.07,0.00,0.01,0.02,0.01,0.07,0.03,0.02,0.04,0.00,0.02,0.00,0.02,0.01,0.03,0.13,0.00,0.00,,0.16,4.00,재미있다
그녀를믿지마세요,0.10,0.00,0.04,0.22,0.09,0.01,0.02,0.05,0.05,0.01,0.07,0.00,0.01,0.02,0.10,0.04,0.01,0.02,0.04,0.00,0.00,0.02,0.00,0.03,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.22,4.00,재미있다
그놈목소리,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.05,0.01,0.01,0.04,0.01,0.02,0.02,0.05,0.02,0.00,0.01,0.20,0.05,0.00,0.12,0.00,0.06,0.02,0.02,0.08,0.00,0.00,0.03,0.00,0.05,0.02,0.00,0.04,0.02,,0.20,19.00,지루하다
그놈은멋있었다,0.11,0.00,0.02,0.12,0.04,0.01,0.01,0.05,0.03,0.03,0.01,0.00,0.01,0.01,0.05,0.10,0.01,0.01,0.03,0.00,0.00,0.01,0.00,0.06,0.01,0.03,0.15,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.15,27.00,분노하다
그는당신에게반하지않았다,0.05,0.00,0.05,0.12,0.05,0.01,0.04,0.05,0.13,0.00,0.03,0.00,0.01,0.01,0.04,0.05,0.01,0.02,0.14,0.01,0.00,0.01,0.00,0.06,0.02,0.02,0.03,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,,0.14,19.00,지루하다
그대를사랑합니다,0.02,0.00,0.01,0.03,0.05,0.00,0.04,0.02,0.13,0.02,0.22,0.00,0.01,0.01,0.12,0.01,0.00,0.01,0.02,0.02,0.01,0.18,0.00,0.04,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.22,11.00,감동적이다
그래비티,0.01,0.00,0.00,0.02,0.01,0.00,0.03,0.04,0.04,0.01,0.05,0.05,0.04,0.03,0.11,0.06,0.03,0.01,0.09,0.01,0.01,0.01,0.02,0.06,0.02,0.02,0.03,0.00,0.01,0.01,0.03,0.06,0.02,0.00,0.02,0.02,,0.11,15.00,대단하다
그랜토리노,0.01,0.00,0.01,0.02,0.02,0.00,0.01,0.02,0.03,0.03,0.23,0.01,0.02,0.02,0.13,0.08,0.01,0.01,0.05,0.01,0.00,0.09,0.01,0.03,0.02,0.03,0.03,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.01,,0.23,11.00,감동적이다
그림자살인,0.02,0.00,0.02,0.17,0.03,0.00,0.00,0.09,0.01,0.01,0.01,0.01,0.01,0.08,0.07,0.02,0.00,0.03,0.07,0.00,0.00,0.00,0.01,0.08,0.02,0.01,0.02,0.00,0.01,0.03,0.00,0.04,0.01,0.00,0.00,0.08,,0.17,4.00,재미있다
그해여름,0.01,0.00,0.00,0.02,0.01,0.00,0.01,0.03,0.26,0.02,0.10,0.01,0.01,0.01,0.06,0.02,0.00,0.04,0.04,0.08,0.00,0.17,0.00,0.05,0.01,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.26,9.00,황홀하다
극락도살인사건,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.01,0.13,0.03,0.02,0.00,0.02,0.07,0.00,0.01,0.00,0.01,0.05,0.02,0.01,0.02,0.00,0.01,0.03,0.06,0.06,0.09,0.07,0.00,0.09,,0.13,14.00,놀라다
글러브,0.02,0.00,0.01,0.08,0.04,0.00,0.01,0.04,0.02,0.02,0.35,0.00,0.02,0.01,0.09,0.02,0.01,0.06,0.05,0.00,0.00,0.08,0.00,0.04,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.35,11.00,감동적이다
기다리다미쳐,0.05,0.00,0.03,0.21,0.08,0.00,0.01,0.10,0.08,0.01,0.04,0.00,0.01,0.01,0.05,0.03,0.00,0.03,0.07,0.00,0.00,0.01,0.01,0.08,0.01,0.01,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,4.00,재미있다
김관장대김관장대김관장,0.01,0.00,0.01,0.14,0.19,0.00,0.00,0.05,0.00,0.01,0.02,0.00,0.02,0.02,0.03,0.01,0.01,0.04,0.10,0.00,0.00,0.00,0.01,0.10,0.03,0.04,0.07,0.01,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.19,5.00,즐겁다
김복남살인사건의전말,0.00,0.00,0.00,0.03,0.00,0.09,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.08,0.04,0.00,0.01,0.02,0.03,0.01,0.04,0.01,0.04,0.01,0.10,0.07,0.01,0.01,0.18,0.01,0.01,0.03,0.00,0.02,0.04,,0.18,30.00,잔인하다
김씨표류기,0.02,0.00,0.03,0.11,0.11,0.00,0.02,0.11,0.04,0.01,0.10,0.01,0.01,0.03,0.08,0.02,0.01,0.01,0.08,0.01,0.00,0.03,0.04,0.06,0.02,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.11,8.00,활기있다
김종욱찾기,0.12,0.00,0.05,0.13,0.09,0.00,0.02,0.06,0.13,0.01,0.03,0.00,0.01,0.02,0.07,0.05,0.01,0.04,0.06,0.00,0.00,0.00,0.00,0.05,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.13,9.00,황홀하다
꼬마니콜라,0.38,0.00,0.06,0.11,0.14,0.00,0.02,0.02,0.07,0.00,0.04,0.00,0.01,0.01,0.05,0.01,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.38,1.00,달콤하다
꼭두각시,0.00,0.00,0.00,0.06,0.02,0.00,0.01,0.05,0.02,0.01,0.00,0.00,0.02,0.03,0.03,0.02,0.01,0.01,0.02,0.00,0.02,0.01,0.00,0.08,0.02,0.03,0.06,0.00,0.05,0.01,0.22,0.03,0.09,0.02,0.01,0.04,,0.22,31.00,공포스럽다
