영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다
내셔널트레져비밀의책,0.01,0,0.01,0.2,0.03,0,0,0.07,0.01,0.01,0.01,0,0.02,0.01,0.07,0.02,0.01,0.04,0.12,0,0,0,0.01,0.08,0.04,0.01,0.04,0.01,0,0,0,0.05,0,0,0,0.1
내여자친구를소개합니다,0.02,0,0.01,0.09,0.03,0,0.01,0.05,0.11,0.01,0.09,0,0.02,0.01,0.05,0.03,0.01,0.01,0.05,0.01,0,0.11,0.01,0.07,0.04,0.05,0.06,0,0.04,0.01,0,0,0,0,0,0
내이름은칸,0.01,0,0,0.04,0.02,0,0.03,0.02,0.05,0.01,0.3,0.01,0.01,0.01,0.15,0.03,0,0.01,0.06,0.01,0,0.09,0,0.04,0.01,0.01,0.03,0,0,0.03,0,0,0,0,0,0
너는내운명,0.01,0,0,0.01,0.01,0,0.02,0.03,0.22,0.04,0.12,0.01,0.01,0.01,0.09,0.02,0,0.03,0.02,0.03,0,0.25,0,0.03,0.01,0,0.02,0,0,0.01,0,0,0,0,0,0
너는펫,0.15,0,0.04,0.14,0.09,0,0.01,0.05,0.08,0.02,0.02,0,0.01,0.01,0.06,0.03,0.01,0.02,0.06,0,0,0,0.01,0.08,0.02,0.02,0.04,0,0.04,0,0,0,0,0,0,0
노브레싱,0.07,0,0.03,0.11,0.08,0.01,0.01,0.09,0.03,0.01,0.06,0,0.03,0.03,0.07,0.08,0.01,0.03,0.04,0.01,0,0.01,0,0.07,0.02,0.01,0.03,0,0.02,0.01,0,0.01,0,0,0,0
노잉,0,0,0,0.11,0.01,0,0.01,0.04,0.01,0.01,0.02,0.01,0.02,0.05,0.06,0.03,0,0.02,0.05,0,0,0.01,0.09,0.07,0.04,0.05,0.04,0,0.03,0.02,0.04,0.05,0.03,0,0.01,0.06
노크낯선자들의방문,0,0,0,0.02,0.01,0,0,0.01,0,0,0,0,0.01,0.08,0.02,0,0,0.01,0.05,0,0.03,0,0.04,0.06,0.01,0.02,0.03,0,0.02,0.06,0.13,0.12,0.16,0.02,0.01,0.04
노트북,0.01,0,0,0.02,0,0,0.02,0.02,0.39,0.01,0.16,0,0.01,0.01,0.06,0.04,0,0.04,0.04,0.01,0,0.09,0,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0
누가그녀와잤을까,0,0,0.01,0.08,0.16,0,0,0.03,0.29,0,0.01,0,0.01,0.01,0.03,0.01,0,0.01,0.06,0,0,0,0.01,0.07,0.01,0.03,0.04,0,0.08,0,0,0,0,0,0,0
눈물이주룩주룩,0.01,0,0,0.02,0.03,0,0.02,0.04,0.09,0.01,0.06,0,0.01,0.01,0.02,0.02,0,0.05,0.06,0.01,0,0.28,0.04,0.08,0.04,0.02,0.03,0,0.01,0.03,0,0,0,0,0,0
뉴문,0.05,0,0,0.12,0.01,0,0,0.1,0.05,0,0.01,0,0.01,0.01,0.06,0.07,0,0.01,0.13,0,0,0.01,0.06,0.08,0.05,0.03,0.05,0,0.03,0,0,0.01,0,0,0,0.01
늑대아이,0.07,0,0,0.06,0.01,0,0.04,0.04,0.11,0.02,0.21,0.01,0.01,0.01,0.08,0.02,0.03,0.01,0.03,0.01,0,0.09,0.01,0.05,0.02,0.01,0.03,0,0,0.01,0,0,0,0,0,0
늑대의유혹,0.13,0,0,0.09,0.01,0,0,0.05,0.05,0.01,0.06,0.01,0.01,0,0.09,0.13,0.01,0.01,0.02,0.01,0,0.15,0,0.04,0.01,0.02,0.03,0,0.02,0,0,0,0,0,0,0
닌자어쌔신,0.01,0.01,0,0.07,0.01,0.03,0,0.08,0.02,0.01,0.01,0.01,0.02,0.02,0.13,0.11,0,0.01,0.03,0,0,0,0,0.07,0.01,0.03,0.03,0.01,0.01,0.2,0,0.03,0,0,0,0.02
님은먼곳에,0.01,0,0,0.06,0.02,0,0.01,0.04,0.13,0.01,0.13,0,0.01,0.02,0.07,0.04,0,0.01,0.07,0.02,0,0.06,0.04,0.07,0.04,0.01,0.11,0,0.01,0.01,0,0,0,0,0,0
